postcode,longitude,latitude
CV11 6RS,-1.450251,52.517272
WR9 0QH,-2.172754,52.285241
UB1 3QN,-0.365444,51.513488
SL2 5EN,-0.583979,51.514371
SA6 6EX,-3.953933,51.668624
NR2 4QB,1.281359,52.633338
LS14 1PQ,-1.462386,53.834216
CH1 2LF,-2.896314,53.189474
EH26 9AA,-3.23561,55.83398
HX5 9JP,-1.833513,53.678479
KA9 2DZ,-4.606511,55.487337
TQ13 7JU,-3.714707,50.520897
GL16 8DU,-2.622422,51.794821
SO53 2FS,-1.385488,50.986887
E16 3LQ,0.038508,51.516946
HX1 2XR,-1.872475,53.71536
MK41 6DF,-0.501504,52.167587
BL4 7AB,-2.393979,53.548839
LS12 3PJ,-1.605062,53.801947
PR2 2YH,-2.746772,53.761009
NR1 1BY,1.301307,52.628322
W11 4JJ,-0.212098,51.513588
N13 4EB,-0.100126,51.625502
GU19 5AT,-0.690534,51.363083
CF64 1ER,-3.178571,51.441511
G13 2UN,-4.331836,55.891385
BH17 8QY,-1.970514,50.739513
DE22 3QU,-1.489355,52.919672
MK40 3HD,-0.464983,52.137072
G69 0HE,-4.079909,55.912829
S2 2AS,-1.44146,53.357288
AB22 8AA,-2.12458,57.176407
M4 6DE,-2.226365,53.481189
N2 0QS,-0.17775,51.578761
EN5 5TZ,-0.19899,51.653228
WC2B 5AH,-0.120892,51.515942
KT1 3HB,-0.287057,51.406825
NE23 1WP,-1.603854,55.102491
SA7 9AG,-3.905563,51.662096
GL6 0JF,-2.219594,51.692714
E14 4BL,-0.025038,51.504087
EC2Y 8BR,,
DE1 3NL,-1.479333,52.923216
ST6 5SL,-2.223649,53.078821
SW9 7ND,-0.111223,51.467441
HR9 5JN,-2.578817,51.90994
CT2 7LN,1.087005,51.28744
M1 2JQ,-2.226332,53.481043
M21 9LP,-2.280592,53.443923
L8 7BA,-2.951775,53.397807
N2 8EY,-0.16799,51.59312
CR2 6EQ,-0.098291,51.352097
IG1 4TD,0.067229,51.563351
LE14 2SF,-0.799848,52.756513
B91 1TF,-1.808233,52.403982
HP9 1GA,-0.635535,51.60685
CF14 4ST,-3.204966,51.523159
NW9 4FY,-0.247511,51.595831
HP21 9RX,-0.823141,51.799628
SK4 3JT,-2.193958,53.416268
N14 5BP,-0.129706,51.632814
GU6 8NA,-0.507295,51.143111
SE1 0LH,-0.100376,51.503874
EC1V 9LL,-0.078912,51.527437
SM6 9AA,-0.146308,51.358352
KT3 6NP,-0.2522,51.393937
SE20 7UQ,-0.061539,51.406126
RM17 6RG,0.327872,51.476648
S71 5SB,-1.43363,53.570298
RM13 8RH,0.181327,51.522256
BA21 4DN,-2.628617,50.94671
HP12 3RE,-0.769318,51.622584
OX5 1JE,-1.301641,51.829994
BR2 0NB,-0.001689,51.406614
NW10 9SL,-0.245853,51.548541
G2 2PQ,-4.260263,55.863009
SO53 3DA,-1.383528,50.981803
EC1V 9BP,-0.090466,51.525169
G2 8BQ,-4.25314,55.858147
B3 2BH,-1.898688,52.482316
CV10 7RJ,-1.479276,52.510373
WD3 1RH,-0.467178,51.6387
B4 6AT,-1.895936,52.483791
CO4 5ZD,0.912576,51.924556
EC4Y 8BB,,
PR1 3JJ,-2.702558,53.755722
M2 1AB,-2.241662,53.481581
LS1 4JP,,
M22 4FU,,
LS1 2SN,,
ST12 9FA,-2.183341,52.951737
EC4A 4PP,,
EC3N 2NP,,
G3 8HZ,-4.276197,55.858945
S9 1QT,-1.403207,53.407781
SE1 7EW,,
LU5 4SB,-0.515436,51.895782
SW1X 7NN,,
EC4A 4AB,-0.104403,51.515595
NW1 2EP,-0.133928,51.526975
KT16 8AY,-0.504313,51.39229
W1N 1HB,,
B3 2BN,,
WV13 1RZ,-2.05563,52.586111
UB6 0NR,-0.324718,51.553108
CM3 1PY,0.502827,51.825936
B2 5LA,,
LN5 7HB,-0.540374,53.227353
W1K 3LN,,
WF3 3LR,-1.495641,53.727024
BN21 3YA,0.280241,50.771141
NG4 2LL,,
LE11 1JD,-1.205146,52.781604
WC1V 6DX,-0.115315,51.518278
NW3 1QD,-0.177078,51.556159
CB4 0WZ,0.153051,52.228226
S2 4NX,,
B66 2AA,-1.968561,52.496991
OX26 4XD,-1.140443,51.904128
HP19 8DY,-0.832612,51.822325
EN5 5JG,-0.178577,51.650812
BN3 1TL,-0.149485,50.832671
W1B 3HH,-0.142383,51.517327
AL3 6PA,-0.325159,51.771467
B9 4QJ,-1.869253,52.479108
TW16 7AH,-0.421857,51.419841
BS23 1US,-2.975889,51.345901
NN3 6HN,-0.856775,52.268818
TF1 7ET,-2.471244,52.716523
LS1 6JP,,
SW1P 1BX,-0.141234,51.495996
RG1 1JG,,
B3 1AB,,
BA4 6DP,-2.513977,51.144303
LS25 2GH,-1.37624,53.797426
LS25 3AA,-1.342386,53.830294
M2 3EY,-2.244355,53.475715
WA14 1EZ,-2.348825,53.389112
B90 4AX,-1.812695,52.395008
W1W 8AG,-0.140169,51.516474
W1N 9AF,,
B79 7DL,-1.696112,52.635565
CA1 1HP,-2.926645,54.896137
SK8 5BR,,
B3 2DB,,
LS1 2HJ,-1.548693,53.797057
S4 7UL,-1.454719,53.389654
B3 1TX,-1.906679,52.487028
SW1V 1LQ,-0.142694,51.494696
LN2 1JN,-0.538816,53.230396
TS15 9AE,-1.353673,54.508524
LS1 2PJ,,
SL1 1HD,-0.584618,51.508271
EC4A 1LT,-0.111011,51.516401
NN5 5LF,-0.914672,52.238982
W1N 9DF,,
TW8 8EH,-0.310895,51.483894
SL9 0QB,,
W1D 6LA,-0.132904,51.511824
S1 1WF,,
NN8 4LQ,-0.698281,52.303869
WV2 2BX,-2.104775,52.574352
WV1 4JX,,
BS1 4JP,-2.595565,51.451479
NG24 3RR,-0.826654,53.054662
AL3 4DH,-0.342963,51.754311
CF24 5YD,,
SM3 8DD,-0.218098,51.357444
RG17 0EY,-1.515101,51.419298
SS15 6EE,0.405279,51.581358
CF2 1TS,,
EC2V 7HJ,,
NG1 3FG,,
BD19 3LS,,
HD7 4JG,-1.857582,53.638084
M22 5WL,-2.240129,53.365021
SO1 2EW,,
LS2 8LA,,
CV5 6BN,-1.549761,52.398133
NE24 1EY,-1.513431,55.128924
EC4M 7RB,-0.103662,51.514961
L2 2LE,,
NG10 2GD,-1.260314,52.891715
OL8 4LA,,
RH4 1HQ,-0.342335,51.236024
IG1 2JF,0.072576,51.547655
BN2 9QG,-0.133817,50.824936
NE3 3LS,-1.622138,55.010031
LS1 5PJ,,
NG16 3EB,-1.313594,53.019972
W1M 1DA,,
W1A 2HU,,
HX1 3LF,,
M2 3BA,-2.239954,53.480659
B3 2DT,,
B3 2RT,-1.900778,52.482911
DY11 7QU,-2.262538,52.368037
B4 6JT,,
B62 8QZ,-2.038615,52.446789
SR5 3JN,-1.459234,54.914807
W9 2BW,-0.197292,51.521871
CR9 3DB,,
RG9 2JR,-0.911097,51.543874
B3 3SD,-1.902314,52.480611
S41 9JT,-1.426509,53.268839
HX3 7TY,-1.818111,53.739354
N12 8LY,-0.177844,51.612862
CW8 2YA,,
DE73 8AN,-1.399568,52.801931
